Region,Town,x,y,MarkerType
ShackledChasm,SilkFarms,0.4394,0.6651,Major
Oarbreaker,Silver,0.488762,0.546064,Major
Sableport,Simmerset,0.468169,0.870007,Minor
ShackledChasm,SimosRun,0.714786,0.858975,Major
DrownedVale,SingingSerpents,0.663207,0.31275,Major
CallahansPassage,SiocApproach,0.621827,0.67212,Minor
Westgate,SiochanaValley,0.580464,0.899851,Minor
GreatMarch,Sitaria,0.537554,0.617895,Major
FarranacCoast,SkeletonRoad,0.594031,0.354024,Minor
TempestIsland,SkodioIsle,0.445653,0.155076,Minor
Oarbreaker,SkullBeach,0.267188,0.445878,Minor
Clahstra,SleepingChoir,0.755815,0.687402,Minor
MarbanHollow,SlenderCove,0.721716,0.289773,Minor
KingsCage,Slipchain,0.205833,0.440865,Major
HowlCounty,SlipgateOutpost,0.403909,0.385649,Major
Sableport,SlumberingMeadow,0.482956,0.103539,Minor
Clahstra,SlyPassage,0.524405,0.844492,Minor
ViperPit,SnakeheadLake,0.401738,0.208306,Minor
HowlCounty,Snakewall,0.385871,0.131089,Minor
LinnMercy,SolasBurn,0.730954,0.225413,Minor
CallahansPassage,SolasGateway,0.232419,0.423196,Minor
CallahansPassage,SolasGorge,0.194069,0.33073,Major
AshFields,Sootflow,0.716636,0.721191,Major
DrownedVale,SopFields,0.519887,0.673202,Minor
SpeakingWoods,SottoBank,0.562601,0.543182,Major
CallahansPassage,SouredFields,0.091006,0.532157,Minor
Kalokai,Sourtooth,0.644321,0.098581,Major
KingsCage,Southblade,0.586311,0.825088,Major
Kalokai,SouthMarch,0.400863,0.523847,Minor
ShackledChasm,Southreach,0.477476,0.09447,Minor
WeatheredExpanse,SpiritWatch,0.65239,0.725519,Major
DrownedVale,SplinterPens,0.471952,0.800865,Major
DrownedVale,SpritesGame,0.326436,0.432937,Minor
UmbralWildwood,SteelyFields,0.167327,0.322954,Minor
SpeakingWoods,Stem,0.393637,0.713169,Major
StemaLanding,StemaApproach,0.804754,0.844725,Minor
BasinSionnach,Stoic,0.855629,0.429994,Major
TempestIsland,StratosValve,0.505426,0.493013,Minor
UmbralWildwood,Stray,0.676725,0.184528,Major
FarranacCoast,SunderBeach,0.356135,0.419864,Minor
DeadLands,SunhavenGateway,0.387225,0.560534,Minor
DeadLands,SunsHollow,0.273352,0.721538,Major
TempestIsland,SurgeField,0.610589,0.581337,Minor
TempestIsland,SurgeGate,0.399566,0.452182,Major
Sableport,SutureLowlands,0.146263,0.425812,Minor
Kalokai,Sweethearth,0.654568,0.214876,Major
ClansheadValley,Sweetholt,0.779557,0.345979,Major
TempestIsland,Sweetworm,0.285203,0.67653,Minor
Acrithia,Swordfort,0.27081,0.293382,Major
ClansheadValley,Tallowild,0.308351,0.234913,Minor
Sableport,Talonsfort,0.358209,0.134848,Major
AshFields,TarCreek,0.259119,0.596962,Minor
DeadLands,TarsalPathway,0.205098,0.41587,Minor
Westgate,TaswellPoint,0.549652,0.793196,Minor
LochMor,Tear,0.676599,0.777586,Minor
NevishLine,TearRoad,0.375935,0.473648,Minor
TheFingers,TearsofTethys,0.594362,0.502974,Minor
Origin,Teichotima,0.320805,0.780043,Major
HowlCounty,TellerFarm,0.400429,0.646176,Major
Origin,TempleField,0.717197,0.520289,Minor
FarranacCoast,Terra,0.611909,0.405155,Major
UmbralWildwood,TerrapinWoods,0.730063,0.49095,Minor
TheFingers,TethysBase,0.589985,0.543148,Major
DeadLands,TheAbbeyDrag,0.753966,0.129005,Minor
NevishLine,TheAgingOcean,0.160974,0.43394,Minor
Westgate,TheAgingOcean,0.114026,0.663528,Minor
ReachingTrail,TheArk,0.741585,0.557898,Major
NevishLine,TheArrow,0.79179,0.562735,Minor
AshFields,TheAshfort,0.755745,0.421604,Major
Godcrofts,TheAxehead,0.263608,0.609588,Major
KingsCage,TheBailie,0.461256,0.190762,Major
ReachingTrail,TheBait,0.708999,0.557733,Minor
ClansheadValley,TheBastardsChannel,0.535387,0.520288,Minor
MorgensCrossing,TheBastardSea,0.352054,0.632989,Minor
DrownedVale,TheBaths,0.568362,0.526071,Major
FarranacCoast,TheBayofArtemis,0.351952,0.687434,Minor
ShackledChasm,TheBellToll,0.62114,0.382919,Major
ReaversPass,TheBilge,0.516293,0.147086,Major
GreatMarch,TheBlackWing,0.487194,0.735348,Minor
DeadLands,TheBlade,0.574384,0.381849,Minor
Heartlands,TheBlemish,0.64916,0.466813,Major
ViperPit,TheBloodyBowery,0.27642,0.457736,Minor
ShackledChasm,TheBlue,0.540954,0.875317,Minor
FarranacCoast,TheBoneHaft,0.502072,0.226242,Major
DeadLands,TheBoneyard,0.594389,0.271638,Minor
Heartlands,TheBreach,0.364244,0.270849,Major
Acrithia,TheBrinehold,0.4971,0.486475,Major
Westgate,TheBulwark,0.768931,0.64326,Minor
ReachingTrail,TheCairns,0.603129,0.238883,Minor
AshFields,TheCalamity,0.266714,0.447616,Major
ReachingTrail,TheChickenCoop,0.32072,0.414551,Minor
MarbanHollow,TheClaim,0.736686,0.666845,Minor
MarbanHollow,TheClutch,0.514264,0.275008,Minor
StemaLanding,TheCoil,0.52513,0.406682,Minor
Oarbreaker,TheConclave,0.596389,0.20631,Major
Stonecradle,TheCord,0.562494,0.694262,Major
LinnMercy,TheCrimsonGardens,0.229586,0.628411,Major
DeadLands,TheCrossing,0.417646,0.446616,Minor
CallahansPassage,TheCrumblingPassage,0.455447,0.784725,Major
MarbanHollow,TheCurse,0.625115,0.513146,Minor
TheMoors,TheCut,0.251853,0.741584,Major
Stonecradle,TheDais,0.593156,0.102234,Major
EndlessShore,TheDarkRoad,0.836939,0.495027,Minor
ReachingTrail,TheDeckard,0.427516,0.04121,Minor
BasinSionnach,TheDen,0.4074,0.511816,Major
Oarbreaker,TheDirk,0.326733,0.666153,Major
Westgate,TheDivide,0.483026,0.899851,Minor
Origin,TheDreamersRoad,0.575055,0.484126,Minor
UmbralWildwood,TheDredgewood,0.784835,0.661724,Minor
CallumsCape,TheDreg,0.530228,0.242045,Minor
LinnMercy,TheDrone,0.193576,0.222619,Minor
Origin,TheEcho,0.732236,0.667234,Minor
EndlessShore,TheEvilEye,0.706914,0.451785,Minor
SpeakingWoods,TheFilament,0.30684,0.47615,Major
LinnMercy,TheFirstCoin,0.408409,0.718451,Major
ShackledChasm,TheFirstRung,0.354774,0.442282,Minor
StemaLanding,TheFlair,0.329356,0.225356,Major
ShackledChasm,TheFoolishMaidens,0.07533,0.573039,Minor
ReaversPass,TheForewardFathom,0.75672,0.560614,Minor
LochMor,TheFoundingFields,0.517611,0.930421,Minor
UmbralWildwood,TheFoundry,0.27597,0.22466,Major
Clahstra,TheFourPillars,0.589469,0.127455,Minor
BasinSionnach,TheFoxfields,0.399675,0.187854,Minor
ViperPit,TheFriars,0.269042,0.815743,Major
UmbralWildwood,TheFrontier,0.611564,0.721657,Minor
Heartlands,TheFumingPen,0.195091,0.687134,Minor
ReaversPass,TheFurl,0.493991,0.861566,Minor
TempestIsland,TheGale,0.556106,0.716437,Major
Westgate,TheGallows,0.363735,0.106146,Major
UmbralWildwood,TheGap,0.423718,0.531849,Minor
Clahstra,TheGarth,0.534524,0.594545,Minor
LochMor,TheGlean,0.140587,0.496625,Minor
ShackledChasm,TheGraveofErastos,0.650526,0.157292,Major
TheMoors,TheGraveyard,0.374175,0.539697,Minor
DeadLands,TheGreatMarch,0.356326,0.88145,Minor
GreatMarch,TheGreatMarch,0.650065,0.732266,Minor
LinnMercy,TheGreatScale,0.411132,0.290848,Minor
CallumsCape,TheGunwall,0.438871,0.376674,Minor
FarranacCoast,TheHeartRoad,0.666231,0.916924,Minor
Stonecradle,TheHeirsKnife,0.276373,0.780616,Major
Westgate,TheHem,0.790699,0.744253,Minor
HowlCounty,TheHuntingGrounds,0.217719,0.675816,Minor
TempestIsland,TheIris,0.626664,0.48054,Major
DeadLands,TheIronPassage,0.481197,0.315444,Minor
DeadLands,TheIronRoad,0.527816,0.132421,Minor
WeatheredExpanse,TheIvoryBank,0.421689,0.927023,Minor
WeatheredExpanse,TheIvorySea,0.176701,0.725722,Minor
FarranacCoast,TheJadeCove,0.432261,0.649026,Major
CallahansPassage,TheKey,0.72057,0.936347,Minor
ClansheadValley,TheKing,0.558886,0.384109,Major
Westgate,TheKingsRoad,0.73255,0.40985,Minor
Westgate,TheKnightsEdge,0.579454,0.289195,Minor
ReachingTrail,TheKnot,0.449044,0.65832,Minor
ViperPit,TheLadysLake,0.19557,0.632804,Minor
Clahstra,TheLaity,0.234387,0.6619,Minor
CallahansPassage,TheLance,0.384859,0.074718,Minor
LinnMercy,TheLastGrove,0.382688,0.884589,Major
CallahansPassage,TheLatch,0.727137,0.683133,Major
Terminus,TheLegionsBounty,0.294557,0.620745,Minor
AllodsBight,TheList,0.226676,0.807596,Minor
Stonecradle,TheLoneliestShore,0.525158,0.254337,Minor
Stonecradle,TheLongFast,0.417141,0.889815,Major
LinnMercy,TheLongWhine,0.357835,0.209964,Major
KingsCage,TheManacle,0.380119,0.464142,Major
GreatMarch,TheMidmarch,0.292007,0.025634,Minor
FarranacCoast,TheMirror,0.824722,0.411111,Minor
TheMoors,TheMound,0.529396,0.634781,Minor
EndlessShore,TheNorthStar,0.302523,0.261643,Minor
StemaLanding,TheNorthWind,0.327794,0.091587,Minor
TheFingers,TheOldCaptain,0.830373,0.57598,Major
EndlessShore,TheOldJackTar,0.179787,0.412112,Major
StlicanShelf,TheOldMourn,0.287507,0.766004,Major
Heartlands,TheOrchardWall,0.698537,0.249745,Minor
DrownedVale,TheOtherVein,0.120905,0.600112,Minor
TempestIsland,TheOutwood,0.613171,0.397104,Minor
EndlessShore,TheOverland,0.575041,0.79666,Major
StlicanShelf,ThePaleHouse,0.186941,0.439909,Major
Sableport,ThePendant,0.71506,0.338939,Major
Terminus,ThePhalanx,0.375615,0.618797,Minor
ClansheadValley,ThePike,0.589134,0.84644,Major
DeadLands,ThePits,0.465119,0.62978,Major
DeadLands,ThePlaza,0.429601,0.40104,Minor
Heartlands,ThePlough,0.54745,0.249713,Major
ShackledChasm,ThePlunging,0.192693,0.751842,Minor
LinnMercy,ThePrairieBazaar,0.614323,0.740401,Major
Stonecradle,ThePram,0.391383,0.477352,Minor
CallahansPassage,TheProcession,0.751389,0.439297,Major
Stonecradle,TheReach,0.701072,0.205289,Major
ReachingTrail,TheReachingHeights,0.546316,0.547519,Minor
FarranacCoast,TheReapingFields,0.650947,0.51992,Minor
LochMor,TheReapingRoad,0.300184,0.033672,Minor
AshFields,TheRedRiver,0.518415,0.347174,Minor
RedRiver,TheRedRiver,0.521906,0.707363,Minor
Terminus,TheRespite,0.404304,0.742963,Minor
ReachingTrail,TheRimeLedge,0.899365,0.745286,Minor
FishermansRow,TheRiteRoad,0.45041,0.385077,Minor
KingsCage,TheRiverBlaise,0.549489,0.598497,Minor
FarranacCoast,TheRiverMercy,0.575741,0.65215,Minor
LinnMercy,TheRiverMercy,0.641596,0.617484,Minor
GreatMarch,TheRiverSenti,0.305576,0.378449,Minor
CallumsCape,TheRiverVein,0.553944,0.499192,Minor
Terminus,Therizo,0.453297,0.738624,Major
Sableport,TheRobinsNest,0.768479,0.58302,Major
ViperPit,TheRockaway,0.7805,0.704823,Minor
LochMor,TheRoilfort,0.584103,0.759198,Major
Stonecradle,TheRoilingComets,0.856341,0.544309,Minor
Heartlands,TheRollcage,0.156627,0.343139,Minor
ReachingTrail,TheRousingFields,0.23696,0.467862,Minor
AllodsBight,TheRumroad,0.188215,0.284239,Minor
TempestIsland,TheRush,0.526945,0.339753,Major
CallahansPassage,TheRustRoad,0.202394,0.698954,Minor
DrownedVale,TheSaltcaps,0.633008,0.169289,Major
Heartlands,TheSaltCrossing,0.785332,0.070847,Minor
DeadLands,TheSaltFarms,0.456971,0.837613,Major
DeadLands,TheSaltMarch,0.822894,0.481924,Major
DeadLands,TheSaltTrail,0.403976,0.745117,Minor
FishermansRow,TheSatyrStone,0.696543,0.800909,Major
ReachingTrail,TheScar,0.294265,0.543678,Minor
NevishLine,TheScryingBelt,0.59507,0.23161,Major
EndlessShore,TheSelkieBluffs,0.579225,0.540588,Minor
DeadLands,TheShornFields,0.455533,0.913922,Minor
ViperPit,TheSlitheringScales,0.578732,0.431429,Minor
FarranacCoast,TheSnag,0.893514,0.787054,Minor
StlicanShelf,TheSouthWind,0.610304,0.839212,Major
TheMoors,TheSpade,0.24432,0.43666,Major
WeatheredExpanse,TheSpear,0.625612,0.336176,Minor
StemaLanding,TheSpearhead,0.596819,0.336185,Major
GreatMarch,TheSpiceRoad,0.375012,0.437795,Minor
DeadLands,TheSpine,0.306974,0.235828,Major
MarbanHollow,TheSpitrocks,0.355112,0.727336,Major
ReachingTrail,TheSqueeze,0.317588,1.056514,Minor
WeatheredExpanse,TheStand,0.089226,0.365076,Minor
Origin,TheSteelRoad,0.585994,0.111624,Major
DeadLands,TheSteppes,0.667862,0.527188,Minor
CallahansPassage,TheStern,0.78071,0.785017,Minor
AshFields,TheStillness,0.377646,0.417379,Minor
AllodsBight,TheStonePlank,0.745561,0.446081,Major
UmbralWildwood,TheStrands,0.50698,0.237842,Minor
Kalokai,TheStumble,0.373516,0.1398,Minor
EndlessShore,TheStyx,0.464723,0.639165,Minor
Origin,TheSundering,0.467073,0.635486,Minor
GreatMarch,TheSwan,0.409796,0.873464,Major
ViperPit,TheTongue,0.693691,0.154688,Minor
Clahstra,TheTreasury,0.410987,0.497438,Major
AllodsBight,TheTurncoat,0.38879,0.730781,Major
DrownedVale,TheTurtlerocks,0.579428,0.358451,Minor
TheFingers,TheTusk,0.305131,0.18499,Major
Acrithia,ThetusRing,0.429268,0.323543,Major
ShackledChasm,TheVanguard,0.692739,0.622179,Major
Clahstra,TheVault,0.373657,0.252611,Major
Kalokai,TheVineroad,0.823795,0.406396,Minor
StemaLanding,TheWane,0.655468,0.826829,Major
TheFingers,TheWaryNymphae,0.711369,0.807101,Minor
DrownedVale,TheWash,0.381508,0.512186,Major
ClansheadValley,TheWeatheredAdvance,0.361465,0.857439,Minor
WeatheredExpanse,TheWeatheredWall,0.180464,0.18551,Minor
WeatheredExpanse,TheWeatheringHalls,0.460955,0.157184,Major
StemaLanding,TheWendingTether,0.329754,0.570386,Minor
StemaLanding,TheWestLine,0.736485,0.230439,Minor
ReaversPass,TheWhaler,0.129751,0.575058,Minor
Sableport,TheWhetstone,0.322609,0.46409,Major
EndlessShore,TheWhisperingWaves,0.660846,0.580116,Minor
GreatMarch,TheWhiteWing,0.553707,0.838399,Minor
Stonecradle,TheWhorl,0.305368,0.346445,Minor
DrownedVale,TheWillowWood,0.307388,0.837474,Minor
TheMoors,TheWindHills,0.375676,0.894091,Major
ReaversPass,ThimbleBase,0.338608,0.872634,Major
Clahstra,ThirdChapter,0.563485,0.206906,Major
StlicanShelf,Thornhold,0.233089,0.595859,Major
Terminus,ThreeSiblings,0.773323,0.745097,Minor
ClansheadValley,ThroneofDruiminn,0.628117,0.160553,Minor
Terminus,Thunderbolt,0.344654,0.090316,Major
UmbralWildwood,Thunderfoot,0.345933,0.514681,Major
Terminus,ThunderPlains,0.292131,0.261877,Minor
UmbralWildwood,ThunderRow,0.260851,0.663166,Minor
ReachingTrail,Thylak,0.118086,0.740565,Minor
SpeakingWoods,Tine,0.621175,0.325575,Major
TheFingers,Titancall,0.572694,0.863512,Major
AllodsBight,TitansEnd,0.537411,0.10903,Minor
NevishLine,TombFather,0.414358,0.872016,Major
LochMor,TomboftheFirst,0.266354,0.206962,Major
FishermansRow,TorchofDemeter,0.424856,0.681883,Minor
BasinSionnach,Torchwood,0.732487,0.733182,Minor
CallumsCape,TrailoftheDead,0.422275,0.623544,Minor
Stonecradle,TrammelPool,0.775525,0.46082,Major
Clahstra,Transept,0.304586,0.7429,Major
FarranacCoast,TransientValley,0.656114,0.145534,Major
Westgate,TritonsCurse,0.20094,0.883553,Minor
EndlessShore,TuathaWatchpost,0.853922,0.550741,Major
RedRiver,TwelveDrops,0.713382,0.457775,Minor
ViperPit,TwinFangs,0.370246,0.401323,Minor
AshFields,TwinFlames,0.793081,0.597534,Minor
CallahansPassage,TwistedMumble,0.675405,0.172121,Minor
LinnMercy,UlsterFalls,0.46411,0.450227,Major
MorgensCrossing,Ultimus,0.7474,0.155943,Minor
NevishLine,Unruly,0.662727,0.077027,Major
Heartlands,UpperBarronyField,0.471439,0.092724,Minor
Heartlands,UpperHeartlands,0.325117,0.113691,Minor
Godcrofts,UrsaBase,0.661284,0.242764,Major
StemaLanding,Ustio,0.447566,0.522397,Major
UmbralWildwood,VagrantBastion,0.507659,0.161604,Major
CallumsCape,ValtaDowns,0.649618,0.831038,Minor
MorgensCrossing,VelianStorm,0.633011,0.421845,Minor
StemaLanding,VergeWing,0.188688,0.474801,Major
DrownedVale,Vessel,0.363513,0.715022,Major
CallumsCape,Vex,0.379533,0.873149,Minor
Godcrofts,VicitBay,0.395519,0.551516,Minor
FarranacCoast,Victa,0.441757,0.874474,Major
RedRiver,VictoriaHill,0.773457,0.563345,Major
Kalokai,VinumRillet,0.318233,0.816606,Minor
GreatMarch,VioletFields,0.134297,0.328585,Minor
GreatMarch,Violethome,0.313003,0.192314,Major
HowlCounty,Viperwalk,0.766968,0.805581,Minor
StlicanShelf,VulpineWatch,0.428619,0.728224,Major
Westgate,WardenWalk,0.869896,0.532704,Minor
Terminus,WarlordsStead,0.252776,0.359002,Major
MorgensCrossing,WarmongerBay,0.723846,0.731819,Minor
Sableport,Waspwood,0.363889,0.338133,Minor
AshFields,WastefulCalm,0.455896,0.662281,Minor
UmbralWildwood,WastingHolt,0.550417,0.940017,Minor
Clahstra,WatchfulNave,0.380352,0.86574,Major
Acrithia,WearySlumber,0.314298,0.148799,Minor
UmbralWildwood,WeaversTrail,0.550068,0.446207,Minor
Clahstra,Weephome,0.734567,0.39799,Major
EndlessShore,Wellchurch,0.51463,0.459453,Major
Westgate,WesternHeartlands,0.719914,0.343739,Minor
Westgate,WestgateKeep,0.595992,0.563679,Major
LochMor,Westmarch,0.629411,0.156757,Major
CallahansPassage,WhisperingGulch,0.496153,1.04493,Minor
CallahansPassage,WhiteChapel,0.763468,0.266987,Major
TheMoors,Wiccwalk,0.772826,0.792623,Major
TheMoors,Wiccwood,0.643141,0.451438,Minor
LochMor,WidowsWail,0.33519,0.7624,Minor
ShackledChasm,WidowsWeb,0.527886,0.672851,Minor
WeatheredExpanse,Wightwalk,0.690546,0.497869,Major
Terminus,WindingBolas,0.778791,0.283492,Major
CallahansPassage,WindingCrag,0.520424,0.245499,Minor
ReachingTrail,WindyWay,0.227089,0.078611,Minor
Westgate,WireRoad,0.691184,0.261086,Minor
DrownedVale,WispsWarning,0.330816,0.293791,Major
AllodsBight,WitchsLastFlight,0.61818,0.269637,Minor
KingsCage,Wolfsbait,0.154771,0.53636,Minor
EndlessShore,Woodbind,0.699312,0.73367,Major
Clahstra,WoodlouseLedge,0.347299,0.147191,Minor
Stonecradle,WorldsEnd,0.21493,0.552177,Major
Origin,WorldStar,0.636218,0.77676,Major
Sableport,Wormskive,0.817796,0.44278,Minor
SpeakingWoods,Wound,0.88333,0.451784,Major
WeatheredExpanse,WraithsGate,0.52872,0.433216,Minor
Westgate,Wyattwick,0.290396,0.816404,Major
GreatMarch,ZealousApproach,0.434159,0.609834,Minor
Westgate,ZeusDemise,0.401962,0.772367,Major
